CCTV,#genre#
CCTV1,https://tang.serv00.net/zb/99.php?id=200&token=ef611921
CCTV1,https://tang.serv00.net/zb/99.php?id=2305&token=ef611921
CCTV2,https://tang.serv00.net/zb/99.php?id=201&token=ef611921
CCTV2,https://tang.serv00.net/zb/99.php?id=2763&token=ef611921
CCTV3,https://tang.serv00.net/zb/99.php?id=202&token=ef611921
CCTV3,https://tang.serv00.net/zb/99.php?id=2808&token=ef611921
CCTV4,https://tang.serv00.net/zb/99.php?id=248&token=ef611921
CCTV4,https://tang.serv00.net/zb/99.php?id=203&token=ef611921
CCTV4,https://tang.serv00.net/zb/99.php?id=2764&token=ef611921
CCTV5,https://tang.serv00.net/zb/99.php?id=204&token=ef611921
CCTV5(備),https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5+,https://tang.serv00.net/zb/99.php?id=205&token=ef611921
CCTV6,https://tang.serv00.net/zb/99.php?id=206&token=ef611921
CCTV6,https://tang.serv00.net/zb/99.php?id=2758&token=ef611921
CCTV7,https://tang.serv00.net/zb/99.php?id=207&token=ef611921
CCTV8,https://tang.serv00.net/zb/99.php?id=208&token=ef611921
CCTV9,https://tang.serv00.net/zb/99.php?id=2308&token=ef611921
CCTV9,https://tang.serv00.net/zb/99.php?id=209&token=ef611921
CCTV10,https://tang.serv00.net/zb/99.php?id=210&token=ef611921
CCTV11,https://tang.serv00.net/zb/99.php?id=2809&token=ef611921
CCTV12,https://tang.serv00.net/zb/99.php?id=212&token=ef611921
CCTV13,https://tang.serv00.net/zb/99.php?id=213&token=ef611921
CCTV14,https://tang.serv00.net/zb/99.php?id=214&token=ef611921
CCTV14,https://tang.serv00.net/zb/99.php?id=2826&token=ef611921
CCTV15,https://tang.serv00.net/zb/99.php?id=215&token=ef611921
CCTV16,https://tang.serv00.net/zb/99.php?id=2821&token=ef611921
浙江卫视,https://tang.serv00.net/zb/99.php?id=217&token=ef611921
江苏卫视,https://tang.serv00.net/zb/99.php?id=2829&token=ef611921
南方卫视,https://tang.serv00.net/zb/99.php?id=219&token=ef611921
北京卫视,https://tang.serv00.net/zb/99.php?id=220&token=ef611921
广东卫视,https://tang.serv00.net/zb/99.php?id=231&token=ef611921
广东卫视,https://tang.serv00.net/zb/99.php?id=1499&token=ef611921
东方卫视,https://tang.serv00.net/zb/99.php?id=224&token=ef611921
安徽卫视,https://tang.serv00.net/zb/99.php?id=2830&token=ef611921

卫视,#genre#
广东卫视,http://222.92.7.170:3333/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://222.92.7.170:3333/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://222.92.7.170:3333/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://222.92.7.170:3333/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://222.92.7.170:3333/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://222.92.7.170:3333/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://222.92.7.170:3333/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏综艺,http://222.92.7.170:3333/tsfile/live/0120_4.m3u8?key=txiptv&playlive=1&authid=0
江苏城市,http://222.92.7.170:3333/tsfile/live/0120_3.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://222.92.7.170:3333/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://222.92.7.170:3333/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://222.92.7.170:3333/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://222.92.7.170:3333/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://222.92.7.170:3333/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙卫视,http://222.92.7.170:3333/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://222.92.7.170:3333/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://222.92.7.170:3333/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://222.92.7.170:3333/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://222.92.7.170:3333/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://222.92.7.170:3333/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://222.92.7.170:3333/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://222.92.7.170:3333/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://222.92.7.170:3333/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://222.92.7.170:3333/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://222.92.7.170:3333/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://222.92.7.170:3333/tsfile/live/0120_2.m3u8?key=txiptv&playlive=1&authid=0
